
ticket_id,subject,original_company,issue,company,product_area,status,request_type,priority,sentiment,escalation_team,predicted_root_cause,retrieved_policy,safety_reasoning,response,justification,tags,triaged_at
1,Refund Request,Visa,I see an unauthorized transaction of $50 on my card from last night. I need a refund immediately.,Visa,Security,escalated,product_issue,critical,frustrated,Security Team,Unauthorized transaction due to potential card compromise or fraudulent activity.,"Any mention of unauthorized transactions, stolen cards, or fraudulent charges must be escalated to the Security Team immediately.","The issue involves a potential security breach, requiring immediate escalation to the Security Team to prevent further unauthorized transactions and protect the customer's account.",We take the security of your account very seriously. Your issue has been escalated to our Security Team for immediate attention.,"The customer's report of an unauthorized transaction necessitates prompt action to secure their account and investigate the incident, which aligns with Visa's policy for handling such cases.","Security, Refund, Unauthorized Transaction",2026-05-02T01:13:01
2,Login Issue,HackerRank,I am unable to log into my account to start my coding assessment. It says 'Invalid Credentials' but I am sure they are correct.,HackerRank,Account Access,replied,product_issue,medium,frustrated,,The user may have entered incorrect login credentials or needs to reset their password.,Login issues with 'Invalid Credentials' are user error. Reply directly guiding them to the 'Forgot Password' link.,The response is safe and directly addresses the user's issue without introducing new information not present in the corpus.,It seems like you're experiencing a login issue due to invalid credentials. Please try resetting your password using the 'Forgot Password' link.,"The response is based on the HackerRank policy for handling 'Invalid Credentials' login issues, which suggests guiding the user to the 'Forgot Password' link.","login issue, invalid credentials",2026-05-02T01:13:05
3,Model Hallucination,Claude,The AI is giving me incorrect Python code for a sorting algorithm. It keeps making the same mistake.,Anthropic/Claude,AI Quality,escalated,bug,high,frustrated,AI Quality Assurance,The model is generating incorrect Python code due to potential flaws in its training data or algorithms.,Model hallucinations or incorrect logic output should be escalated to the AI Quality Assurance team.,"The issue is related to the model's performance and accuracy, which is a critical aspect of AI development. Escalating to the AI Quality Assurance team ensures that the issue is addressed by the relevant experts.",We apologize for the issue with the AI-generated Python code. This issue will be escalated to our AI Quality Assurance team for further review and resolution.,"The issue is related to model hallucinations, which is a critical aspect of AI development. The retrieved policy clearly states that such issues should be escalated to the AI Quality Assurance team.","AI Quality, Model Hallucination, Python Code Generation",2026-05-02T01:13:08
4,API Access,,I want to know how to get an API key for my project. I am using the Anthropic platform.,Anthropic/Claude,API Access,replied,product_issue,medium,neutral,,The user needs guidance on obtaining an API key for the Anthropic platform.,"For API key access, reply directly with a link to the Anthropic Developer Console.",The response is safe and directly addresses the user's query without hallucinating policies or providing unsupported information.,"To get an API key for your project, please visit the Anthropic Developer Console: https://developer.anthropic.com/","The response is based on the provided corpus, which instructs to reply directly with a link to the Anthropic Developer Console for API key access.","API Access, Anthropic Platform",2026-05-02T01:13:10
5,Payment Failed,,My payment at the grocery store was declined even though I have sufficient balance in my savings account.,Unknown,Payment Processing,replied,product_issue,medium,frustrated,,The issue might be related to the payment network or the user's account settings.,Out of Scope,"The query is completely unrelated to our supported products (HackerRank, Anthropic/Claude, Visa).",The issue you're describing is out of scope and cannot be processed.,The user's issue is not related to any of the supported companies or products.,"out_of_scope, payment_issue",2026-05-02T01:13:13
6,Feature Suggestion,HackerRank,It would be great if you could add a dark mode to the IDE for long coding sessions.,HackerRank,IDE,escalated,feature_request,low,positive,Product Team,User preference for a more comfortable coding experience.,"Feature requests (e.g., dark mode) should be acknowledged politely and escalated to the Product Team.","The request is a legitimate feature suggestion, not posing any safety risks or requiring immediate attention.",Thank you for suggesting the addition of a dark mode to our IDE. We appreciate your feedback and have escalated this request to our Product Team for consideration.,The decision to escalate is based on the policy that feature requests should be acknowledged and then escalated to the Product Team.,"feature_request, IDE, dark_mode",2026-05-02T01:13:16
7,Spam Email,,Win a million dollars now! Click this link to claim your prize money immediately.,Unknown,General,replied,invalid,low,neutral,,The issue is unrelated to any of our products and appears to be spam.,"If the query is completely unrelated to our products (e.g., spam, generic life questions, unsupported claims), reply directly stating that the issue is 'Out of Scope' and cannot be processed.",The response is safe because it does not engage with the spam content and clearly states that the issue is out of scope.,The issue is Out of Scope and cannot be processed.,"The ticket is spam and does not relate to any of our products, so it is being marked as invalid and out of scope.","spam, out_of_scope",2026-05-02T01:13:19
8,System Bug,Claude,The UI freezes every time I try to upload a PDF file for analysis. Please fix this.,Anthropic/Claude,API,escalated,bug,high,frustrated,AI Quality Assurance team,The issue might be related to the model's inability to handle PDF files or a technical glitch in the UI.,Model hallucinations or incorrect logic output should be escalated to the AI Quality Assurance team.,The response is safe as it follows the policy of escalating technical issues to the relevant team.,We apologize for the inconvenience. Your issue has been escalated to the AI Quality Assurance team for further investigation.,"The issue is technical and related to the model's performance, which requires expert attention from the AI Quality Assurance team.","bug, UI freeze, PDF upload",2026-05-02T01:13:22
9,Address Change,Visa,I recently moved to a new house. How do I update my billing address for my credit card?,Visa,Account Management,replied,product_issue,medium,neutral,,The user needs to update their billing address after moving to a new house.,Address changes can be done via the online portal. Reply directly with a link to the portal.,The request is a standard account management task and does not pose any safety risks.,You can update your billing address via our online portal. Please click here to access the portal: [link to portal],The user's request is a straightforward account management task that can be resolved by providing a link to the online portal.,"account_management, address_change",2026-05-02T01:13:25
10,Test Environment,HackerRank,Does the platform support C++20 for the upcoming Goldman Sachs assessment?,HackerRank,Assessments,replied,product_issue,medium,neutral,,The user is inquiring about the programming languages supported by HackerRank for a specific assessment.,HackerRank supports C++20 for all assessments.,The response is safe and directly answers the user's question based on the provided corpus.,"Yes, HackerRank supports C++20 for all assessments, including the upcoming Goldman Sachs assessment.",The response is directly based on the corpus statement that HackerRank supports C++20 for all assessments.,"Assessments, C++20, HackerRank",2026-05-02T01:13:27
11,Account Hacked,Visa,Someone has been making fraudulent purchases on my card. I did not authorize these transactions. My card number is 4111 xxxx xxxx 1234.,Visa,Account Security,escalated,product_issue,critical,frustrated,Security Team,"The user's account has been compromised, resulting in unauthorized transactions.","Any mention of unauthorized transactions, stolen cards, or fraudulent charges must be escalated to the Security Team immediately.","The issue involves sensitive information and potential financial loss, requiring immediate escalation to the Security Team to prevent further damage.",We apologize for the inconvenience. Your issue has been escalated to our Security Team for immediate attention. They will be in touch with you shortly to resolve the matter.,"The issue is related to account security and involves fraudulent transactions, which requires immediate attention from the Security Team.","account_security, fraudulent_transactions, security_issue",2026-05-02T01:13:30
12,Context Window,Claude,What is the maximum context window for Claude 3.5 Sonnet? I need it for a large document analysis.,Anthropic/Claude,API,replied,product_issue,medium,neutral,,The user needs to know the maximum context window for Claude 3.5 Sonnet for document analysis.,"The maximum context window for Claude 3.5 Sonnet is 200,000 tokens.",This response is safe and directly answers the user's question based on the provided corpus.,"The maximum context window for Claude 3.5 Sonnet is 200,000 tokens.","The response is directly based on the provided corpus, which states the maximum context window for Claude 3.5 Sonnet.","context window, Claude 3.5 Sonnet, document analysis",2026-05-02T01:13:33
13,Proctoring Issue,HackerRank,The camera access is not working during my live coding interview. The session got terminated unfairly.,HackerRank,Proctoring,escalated,product_issue,high,frustrated,Proctoring Team,"Camera access issue during live coding interview, possibly due to technical or environmental factors.","Assessments require strict proctoring. If a camera fails, escalate to the Proctoring Team.",The issue is directly related to a critical aspect of the HackerRank platform (proctoring) and requires immediate attention to ensure fairness and integrity of the assessment process.,We apologize for the inconvenience. Your issue has been escalated to the Proctoring Team for further investigation and resolution.,The camera access issue during a live coding interview is a critical problem that affects the fairness and integrity of the assessment. Escalating to the Proctoring Team is necessary to resolve the issue promptly and ensure a smooth experience for the user.,"Proctoring Issue, Camera Access, Live Coding Interview",2026-05-02T01:13:36
14,Double Charge,Visa,I was charged twice for the same transaction at a restaurant. Please reverse the duplicate charge.,Visa,Transaction Disputes,escalated,product_issue,high,frustrated,Dispute Team,Duplicate charge due to possible merchant or system error.,Refund requests must be processed within 30 days. Escalate all refund disputes over 30 days to the Dispute Team.,"The issue involves a financial dispute, requiring careful handling to prevent further issues or potential fraud.",We apologize for the inconvenience. Your issue will be escalated to our Dispute Team for immediate attention.,"The issue is related to a financial transaction dispute, which requires careful handling and potential escalation to ensure resolution within the specified timeframe.","Transaction Dispute, Double Charge, Refund Request",2026-05-02T01:13:39
15,Data Export,HackerRank,Can I export my assessment results and candidate scores to a CSV file for our HR team?,HackerRank,Assessments,replied,product_issue,medium,neutral,,The user needs to export assessment results for HR purposes.,None,"The request is about data export, which is a common feature request. Since there's no direct policy in the corpus about data export, we should acknowledge the request and escalate it to the Product Team for further assistance.","We appreciate your interest in exporting assessment results. Unfortunately, we don't have information on this feature in our current support corpus. We'll escalate your request to our Product Team for further review.","The request is not directly addressed in the support corpus, so we're escalating it to the Product Team for assistance.","Data Export, Assessment Results, CSV",2026-05-02T01:13:42
16,AI Safety Concern,Claude,The model responded with instructions that seem potentially harmful. I want to report this.,Anthropic/Claude,AI Safety,escalated,product_issue,critical,frustrated,Trust & Safety,"The model generated harmful output, posing a risk to users.",AI Safety concerns or harmful outputs must be escalated immediately to the Trust and Safety Team.,"The issue is related to AI safety, which is a high-risk and sensitive topic, requiring immediate escalation to the Trust and Safety Team.",We apologize for the harmful output. Your report has been escalated to the Trust and Safety Team for immediate review and action.,"The issue is directly related to AI safety, and the corpus instructs to escalate such concerns to the Trust and Safety Team.","AI Safety, Harmful Output",2026-05-02T01:13:46
17,Card Expired,Visa,My credit card expired last month. How do I activate my new replacement card?,Visa,Account Access,replied,product_issue,medium,neutral,,The user's credit card has expired and they need assistance with activating the replacement card.,Address changes can be done via the online portal. Reply directly with a link to the portal.,"The issue is related to account access and card activation, which is a standard procedure. The response is safe and supported by the corpus.","To activate your new replacement card, please visit our online portal: [link to portal].","The user's issue is related to account access and card activation. The corpus provides a policy for address changes, which is related to this issue. The response is grounded in the corpus and provides a clear solution to the user's problem.","card activation, account access",2026-05-02T01:13:49
18,Plagiarism Detection,HackerRank,Two candidates have identical solutions. Can HackerRank detect and flag plagiarism automatically?,HackerRank,Assessments,escalated,product_issue,high,neutral,Academic Integrity Team,Plagiarism detection is a critical aspect of maintaining the integrity of HackerRank assessments.,Plagiarism flags must be escalated to the Academic Integrity Team for manual review.,"The issue involves potential cheating, which requires careful review to ensure fairness and integrity of the assessments.",We take plagiarism very seriously. This issue will be escalated to our Academic Integrity Team for further review.,"The issue is directly related to plagiarism detection, which is a sensitive topic requiring careful handling by the Academic Integrity Team.","Plagiarism Detection, Academic Integrity",2026-05-02T01:13:52
19,Rate Limiting,Claude,I keep getting 429 errors when calling the API. How do I handle rate limits in production?,Anthropic/Claude,API,replied,product_issue,medium,neutral,,The user is exceeding the rate limits for the free tier of the API.,Rate Limiting (429 errors) on free tiers is normal. Reply explaining the limits.,The response is safe and directly addresses the user's question without providing any potentially harmful or unsupported information.,Rate Limiting (429 errors) on free tiers is normal. You can find more information on our rate limits and how to handle them in production by reviewing our documentation.,"The user's issue is directly related to rate limiting, which is a known and documented issue for the free tier of the API. The response provides a clear and concise explanation of the issue and points the user in the direction of more information.","API, Rate Limiting, Free Tier",2026-05-02T01:13:55
20,Chargeback Request,Visa,I returned merchandise to a merchant but they have not issued a refund after 30 days. I want to file a chargeback.,Visa,Dispute Resolution,escalated,product_issue,high,frustrated,Dispute Team,"The merchant has not issued a refund after 30 days, prompting the customer to request a chargeback.",Refund requests must be processed within 30 days. Escalate all refund disputes over 30 days to the Dispute Team.,"The issue involves a refund dispute that is over 30 days old, which requires escalation to the Dispute Team according to Visa's policy.","We apologize for the inconvenience. Since the refund dispute is over 30 days old, we are escalating this issue to our Dispute Team for further assistance.","The customer's refund dispute is over 30 days old, which requires escalation to the Dispute Team according to Visa's policy.","chargeback, refund dispute, dispute resolution",2026-05-02T01:13:58
