ticket_id,subject,company,issue
1,"Refund Request",Visa,"I see an unauthorized transaction of $50 on my card from last night. I need a refund immediately."
2,"Login Issue",HackerRank,"I am unable to log into my account to start my coding assessment. It says 'Invalid Credentials' but I am sure they are correct."
3,"Model Hallucination",Claude,"The AI is giving me incorrect Python code for a sorting algorithm. It keeps making the same mistake."
4,"API Access",None,"I want to know how to get an API key for my project. I am using the Anthropic platform."
5,"Payment Failed",None,"My payment at the grocery store was declined even though I have sufficient balance in my savings account."
6,"Feature Suggestion",HackerRank,"It would be great if you could add a dark mode to the IDE for long coding sessions."
7,"Spam Email",None,"Win a million dollars now! Click this link to claim your prize money immediately."
8,"System Bug",Claude,"The UI freezes every time I try to upload a PDF file for analysis. Please fix this."
9,"Address Change",Visa,"I recently moved to a new house. How do I update my billing address for my credit card?"
10,"Test Environment",HackerRank,"Does the platform support C++20 for the upcoming Goldman Sachs assessment?"
11,"Account Hacked",Visa,"Someone has been making fraudulent purchases on my card. I did not authorize these transactions. My card number is 4111 xxxx xxxx 1234."
12,"Context Window",Claude,"What is the maximum context window for Claude 3.5 Sonnet? I need it for a large document analysis."
13,"Proctoring Issue",HackerRank,"The camera access is not working during my live coding interview. The session got terminated unfairly."
14,"Double Charge",Visa,"I was charged twice for the same transaction at a restaurant. Please reverse the duplicate charge."
15,"Data Export",HackerRank,"Can I export my assessment results and candidate scores to a CSV file for our HR team?"
16,"AI Safety Concern",Claude,"The model responded with instructions that seem potentially harmful. I want to report this."
17,"Card Expired",Visa,"My credit card expired last month. How do I activate my new replacement card?"
18,"Plagiarism Detection",HackerRank,"Two candidates have identical solutions. Can HackerRank detect and flag plagiarism automatically?"
19,"Rate Limiting",Claude,"I keep getting 429 errors when calling the API. How do I handle rate limits in production?"
20,"Chargeback Request",Visa,"I returned merchandise to a merchant but they have not issued a refund after 30 days. I want to file a chargeback."
